Task,Difficulty,Region,Type,Points,ready-to-use,auto-completed
[918] Defeat a Gargoyle in Morytania,Medium,Morytania,Combat,30,yes,
[919] Defeat The Nightmare,Hard,Morytania,Combat,80,no,
[920] Defeat a Werewolf in Morytania,Easy,Morytania,Combat,10,yes,
[921] Defeat a Fiyr Shade,Medium,Morytania,Combat,30,yes,
[925] Defeat a Vyrewatch Sentinel,Medium,Morytania,Combat,30,yes,
[926] Defeat an Abyssal Demon in Morytania,Medium,Morytania,Combat,30,yes,
[929] Equip a Piece of any Barrows Armour Set,Medium,Morytania,Combat,30,no,
[930] Equip any Full Barrows Armour Set,Hard,Morytania,Combat,80,no,
[932] Loot a Barrows Chest,Medium,Morytania,Combat,30,no,
[933] Equip an Inquisitor's Mace,Elite,Morytania,Combat,200,yes,
[934] Equip a Granite Hammer or Granite Ring,Medium,Morytania,Combat,30,no,
[935] Equip a Piece of the Inquisitor's Set,Elite,Morytania,Combat,200,no,
[936] Equip a Full Inquisitor's Set,Master,Morytania,Combat,400,no,
[937] Equip a Nightmare Staff,Hard,Morytania,Combat,80,yes,
[938] Equip a Nightmare Staff With an Orb,Master,Morytania,Combat,400,no,
[939] Create an Amulet of Blood Fury,Hard,Morytania,Combat,80,partial,
[940] Equip an Avernic Defender,Hard,Morytania,Combat,80,yes,
[941] Equip a Sanguinesti Staff,Elite,Morytania,Combat,200,yes,
[942] Equip a Scythe of Vitur,Master,Morytania,Combat,400,yes,
[943] Equip a Piece of the Justiciar Set,Elite,Morytania,Combat,200,no,
[944] Equip a Full Justiciar Set,Master,Morytania,Combat,400,no,
[945] Equip a Ghrazi Rapier,Elite,Morytania,Combat,200,yes,
[946] Complete the Theatre of Blood 25 Times,Elite,Morytania,Combat,200,no,
[947] Complete the Theatre of Blood 50 Times,Elite,Morytania,Combat,200,no,
[948] Complete the Theatre of Blood 100 Times,Elite,Morytania,Combat,200,no,
[949] Defeat the Grotesque Guardians,Hard,Morytania,Combat,80,no,
[950] Defeat the Grotesque Guardians 50 Times,Hard,Morytania,Combat,80,no,
[951] Defeat the Grotesque Guardians 150 Times,Hard,Morytania,Combat,80,no,
[952] Complete the Easy Morytania Diary,Medium,Morytania,Diary,30,no,
[953] Complete the Medium Morytania Diary,Medium,Morytania,Diary,30,no,
[954] Complete the Hard Morytania Diary,Hard,Morytania,Diary,80,no,
[955] Complete the Elite Morytania Diary,Elite,Morytania,Diary,200,no,
[956] Complete an Easy Temple Trek,Easy,Morytania,Other,10,no,
[957] Complete a Medium Temple Trek,Medium,Morytania,Other,30,no,
[958] Complete a Hard Temple Trek,Medium,Morytania,Other,30,no,
[959] Visit Port Phasmatys,Easy,Morytania,Misc,10,no,
[960] Complete Haunted Mine,Hard,Morytania,Quest,80,no,
[961] Complete Sins of the Father,Hard,Morytania,Quest,80,no,
[963] Pet Frank,Medium,Morytania,Misc,30,no,
[965] Achieve 100% Shades of Mort'Ton Sanctity,Medium,Morytania,Other,30,no,
[966] Visit Harmony Island,Easy,Morytania,Misc,10,no,
[967] Equip a Salve Amulet (e),Medium,Morytania,Misc,30,yes,
[968] Visit Mos Le'Harmless,Easy,Morytania,Misc,10,no,
[969] Sacrifice Some Bones at the Chaos Temple,Medium,Wilderness,Skilling,30,no,
[970] Sacrifice Some Dragon Bones at the Chaos Temple,Hard,Wilderness,Skilling,80,no,
[971] Bury Some Lava Dragon Bones,Medium,Wilderness,Skilling,30,no,
[972] Catch 100 Dark Crabs,Hard,Wilderness,Skilling,80,no,
[973] Cook a Dark Crab,Elite,Wilderness,Skilling,200,partial,
[974] Make an Extended Antifire Potion,Elite,Wilderness,Skilling,200,no,
[975] Complete the Wilderness Agility Course,Medium,Wilderness,Skilling,30,no,
[976] Catch a Black Salamander,Medium,Wilderness,Skilling,30,partial,
[977] Catch a Black Chinchompa,Medium,Wilderness,Skilling,30,partial,
[978] Equip 100 Black Chinchompas,Hard,Wilderness,Skilling,80,no,
[979] Equip 250 Black Chinchompas,Hard,Wilderness,Skilling,80,no,
[980] Equip 500 Black Chinchompas,Elite,Wilderness,Skilling,200,no,
[981] Craft an Air Battlestaff in the Wilderness,Hard,Wilderness,Skilling,80,no,
[982] Use the Abyss,Medium,Wilderness,Skilling,30,no,
[983] Fill a Large Pouch,Medium,General,Skilling,30,no,
[984] Fill a Giant Pouch,Hard,General,Skilling,80,no,
[985] Mine Some Runite Ore in the Wilderness,Elite,Wilderness,Skilling,200,no,
[986] Defeat a Lava Dragon in the Wilderness,Medium,Wilderness,Combat,30,yes,
[987] Defeat the Crazy Archaeologist,Medium,Wilderness,Combat,30,yes,
[988] Defeat Venenatis,Hard,Wilderness,Combat,80,yes,
[989] Equip a Treasonous Ring,Elite,Wilderness,Combat,200,yes,
[990] Defeat a Fire Giant in the Wilderness,Easy,Wilderness,Combat,10,yes,
[991] Defeat Scorpia,Hard,Wilderness,Combat,80,yes,
[992] Defeat Callisto,Hard,Wilderness,Combat,80,yes,
[993] Equip a Tyrannical Ring,Elite,Wilderness,Combat,200,yes,
[994] Defeat a Chaos Dwarf in the Wilderness,Easy,Wilderness,Combat,10,yes,
[995] Defeat the Chaos Fanatic,Medium,Wilderness,Combat,30,yes,
[996] Defeat Vet'ion,Hard,Wilderness,Combat,80,yes,
[997] Equip a Ring of the Gods,Elite,Wilderness,Combat,200,yes,
[998] Defeat a Green Dragon in the Wilderness,Medium,Wilderness,Combat,30,yes,
[999] Defeat the Chaos Elemental,Hard,Wilderness,Combat,80,yes,
[1000] Defeat the King Black Dragon,Hard,Wilderness,Combat,80,yes,
[1001] Equip a Fedora,Medium,Wilderness,Combat,30,yes,
[1002] Equip a Dragon Pickaxe,Hard,General,Combat,80,yes,
[1003] Equip a Dragon 2-Handed Sword in the Wilderness,Hard,Wilderness,Combat,80,no,
[1004] Defeat the Corporeal Beast,Hard,Wilderness,Combat,80,yes,
[1005] Defeat the Corporeal Beast 50 Times,Hard,Wilderness,Combat,80,no,
[1006] Defeat the Corporeal Beast 150 Times,Elite,Wilderness,Combat,200,no,
[1007] Defeat the Corporeal Beast 250 Times,Elite,Wilderness,Combat,200,no,
[1008] Equip a Spectral or Arcane Spirit Shield,Master,Wilderness,Combat,400,no,
[1009] Equip an Elysian Spirit Shield,Master,Wilderness,Combat,400,yes,
[1010] Equip a Blessed Spirit Shield,Elite,Wilderness,Combat,200,yes,
[1011] Obtain an Ecumenical Key,Medium,Wilderness,Combat,30,partial,
[1012] Equip a Lava Battlestaff,Medium,General,Combat,30,yes,
[1013] Equip an Enchanted Slayer Staff,Hard,Wilderness,Combat,80,no,
[1014] Equip a Bracelet of Ethereum,Medium,Wilderness,Combat,30,yes,
[1015] Equip a Malediction Ward,Elite,Wilderness,Combat,200,yes,
[1016] Equip an Odium Ward,Elite,Wilderness,Combat,200,yes,
[1017] Order a Drink at The Old Nite,Medium,Wilderness,Misc,30,no,
[1018] Equip Craw's Bow,Elite,Wilderness,Combat,200,yes,
[1019] Obtain Every Revenant Weapon,Master,Wilderness,Combat,400,no,
[1021] Equip a God Cape,Medium,Wilderness,Combat,30,no,
[1022] Imbue a God Cape,Hard,Wilderness,Combat,80,no,
[1023] Cast Saradomin Strike,Medium,Wilderness,Combat,30,no,
[1024] Cast Claws of Guthix,Medium,Wilderness,Combat,30,no,
[1025] Cast Flames of Zamorak,Medium,Wilderness,Combat,30,no,
[1026] Complete the Easy Wilderness Diary,Medium,Wilderness,Diary,30,no,
[1027] Complete the Medium Wilderness Diary,Medium,Wilderness,Diary,30,no,
[1028] Complete the Hard Wilderness Diary,Hard,Wilderness,Diary,80,no,
[1029] Complete the Elite Wilderness Diary,Elite,Wilderness,Diary,200,no,
[1031] Use a Lever to Teleport to Edgeville,Easy,Wilderness,Misc,10,no,
[1032] Open a Looting Bag,Easy,Wilderness,Misc,10,no,
[1035] Enter the Wilderness Resource Area,Easy,Wilderness,Misc,10,no,
[1036] Enter the Deep Wilderness Dungeon,Medium,Wilderness,Misc,30,no,
[1037] Enter the Wilderness God Wars Dungeon,Easy,Wilderness,Misc,10,no,
[1038] Use the Bank at the Mage Arena,Easy,Wilderness,Misc,10,no,
[1039] Open One of Larran's Chests,Medium,Wilderness,Combat,30,no,
[1040] Equip a Piece of the Dagon'Hai Set,Elite,Wilderness,Combat,200,no,
[1041] Equip a Full Dagon'Hai Set,Elite,Wilderness,Combat,200,no,
[1042] Craft a Ghorrock Teleport Tablet,Elite,Desert,Skilling,200,no,
[1044] Defeat a Crocodile,Medium,Desert,Combat,30,yes,
[1045] Take a Carpet Ride from Pollnivneach to Sophanem,Easy,Desert,Misc,10,no,
[1046] Make a Combat Potion,Medium,Desert,Skilling,30,no,
[1047] Complete the Easy Varrock Diary,Medium,Misthalin,Diary,30,no,
[1048] Complete the Medium Varrock Diary,Medium,Misthalin,Diary,30,no,
[1049] Complete the Hard Varrock Diary,Hard,Misthalin,Diary,80,no,
[1050] Complete the Elite Varrock Diary,Elite,Misthalin,Diary,200,no,
"[1051] Smith 1,000 Rune Dart Tips",Elite,Desert,Skilling,200,no,
[1052] Obtain a Zalcano Shard,Elite,Tirannwn,Skilling,200,partial,
[1053] Complete the Easy Ardougne Diary,Medium,Kandarin,Diary,30,no,
[1054] Complete the Medium Ardougne Diary,Medium,Kandarin,Diary,30,no,
[1055] Complete the Hard Ardougne Diary,Hard,Kandarin,Diary,80,no,
[1056] Complete the Elite Ardougne Diary,Elite,Kandarin,Diary,200,no,
[1058] Defeat a Drake,Medium,Kourend,Combat,30,yes,
[1060] Equip a Dragon Hunter Crossbow,Elite,Kourend,Combat,200,yes,
[1061] Equip a Twisted Buckler,Elite,Kourend,Combat,200,yes,
[1062] Activate an Arcane or Dexterous Prayer Scroll,Hard,Kourend,Combat,80,no,
[1063] Equip Dinh's Bulwark,Elite,Kourend,Combat,200,yes,
[1064] Equip any Ancestral piece,Elite,Kourend,Combat,200,no,
[1065] Equip a full set of Ancestral,Master,Kourend,Combat,400,no,
[1066] Equip a pair of Dragon Claws,Elite,Kourend,Combat,200,no,
[1067] Recolour a piece of the Ancestral Robes,Elite,Kourend,Combat,200,no,
[1068] Equip a Sarachnis Cudgel,Hard,Kourend,Combat,80,yes,
[1069] Equip a Bonecrusher necklace,Elite,Kourend,Combat,200,yes,
[1070] Obtain a Casket from Fishing,Easy,General,Skilling,10,no,
[1071] Steal Some Silk,Easy,General,Skilling,10,no,
[1072] Equip some Steel armour,Medium,General,Misc,30,no,
[1073] Equip some Black armour,Medium,General,Misc,30,no,
[1074] Equip a Willow Shield,Medium,General,Misc,30,yes,
[1075] Equip an Imcando Hammer,Medium,Asgarnia,Misc,30,yes,
[1076] Open an Ornate Lockbox,Medium,Asgarnia,Other,30,no,
[1078] Defeat Phosani's Nightmare,Hard,Morytania,Combat,80,yes,
[1079] Defeat The Nightmare 25 times,Hard,Morytania,Combat,80,no,
[1080] Defeat The Nightmare 50 times,Elite,Morytania,Combat,200,no,
[1081] Defeat The Nightmare 150 times,Elite,Morytania,Combat,200,no,
[1084] 1 Tempoross Kill,Easy,Desert,Skilling,10,yes,
[1085] 10 Tempoross Kills,Medium,Desert,Skilling,30,yes,
[1086] 25 Tempoross Kills,Hard,Desert,Skilling,80,yes,
[1111] 50 Combat Achievements,Elite,General,Diary,200,no,
[1112] 100 Combat Achievements,Elite,General,Diary,200,no,
[1113] 150 Combat Achievements,Elite,General,Diary,200,no,
[1114] 200 Combat Achievements,Elite,General,Diary,200,no,
[1115] 250 Combat Achievements,Elite,General,Diary,200,no,
[1119] Combat Achievements Easy Tier,Hard,General,Diary,80,no,
[1120] Combat Achievements Medium Tier,Elite,General,Diary,200,no,
[1121] Combat Achievements Hard Tier,Elite,General,Diary,200,no,
[1122] Combat Achievements Elite Tier,Master,General,Diary,400,no,
[1124] Cast Degrime Spell Full Clean,Medium,Kourend,Skilling,30,no,
[1127] Inferior Demonbane Demon Kill,Medium,Kourend,Skilling,30,no,
[1128] Equip a Piece of Zealot's Robes,Medium,Morytania,Combat,30,no,
[1129] Equip a Full Set of Zealot's Robes,Hard,Morytania,Combat,80,no,
[1130] Open a Bronze Chest,Easy,Morytania,Other,10,no,
[1131] Open a Black Chest,Medium,Morytania,Other,30,no,
[1132] Open a Gold Chest,Hard,Morytania,Other,80,no,
[1133] Win a Game of Soul Wars,Medium,Misthalin,Other,30,no,
[1135] Attach a Sanguine ornament kit to the Scythe,Elite,Morytania,Combat,200,no,
[1136] Attach a Holy ornament kit to the Scythe of Vitur,Elite,Morytania,Combat,200,no,
[1137] Purchase a Celestial ring,Hard,Asgarnia,Skilling,80,no,
[1139] Equip a Piece of the Golden Prospector set,Hard,Asgarnia,Skilling,80,no,
[1140] Equip a Full set of Golden Prospector,Elite,Asgarnia,Skilling,200,no,
[1143] Pet the Museum Camp dog,Easy,Misthalin,Misc,10,no,
[1150] Pick Wheat in Catherby,Easy,Kandarin,Misc,10,no,
[1151] Buy Something From Trader Crewmembers,Easy,General,Misc,10,no,
[1152] Get Stung By Bees,Easy,Kandarin,Misc,10,no,
[1153] Drink a Poison Chalice,Medium,Kandarin,Misc,30,no,
[1154] Make some Flour,Medium,General,Misc,30,no,
[1155] Complete Fishing Contest,Medium,Kandarin,Quest,30,no,
[1156] Defeat Nex,Hard,Asgarnia,Combat,80,yes,
[1157] Defeat Nex 50 Times,Hard,Asgarnia,Combat,80,no,
[1158] Defeat Nex 150 Times,Hard,Asgarnia,Combat,80,no,
[1159] Defeat Nex 300 Times,Elite,Asgarnia,Combat,200,no,
[1160] Equip a Piece of Torva Armour,Elite,Asgarnia,Combat,200,no,
[1161] Equip a Full Set of Torva Armour,Master,Asgarnia,Combat,400,no,
[1163] Equip a Zaryte Crossbow,Elite,Asgarnia,Combat,200,yes,
[1164] Equip some Zaryte Vambraces,Hard,Asgarnia,Combat,80,no,
[1166] Defeat Vardorvis,Hard,Varlamore,Combat,80,yes,
[1167] Defeat Vardorvis 50 times,Hard,Varlamore,Combat,80,no,
[1168] Defeat Vardorvis 150 times,Hard,Varlamore,Combat,80,no,
[1169] Defeat Vardorvis 300 times,Elite,Varlamore,Combat,200,no,
[1170] Defeat Awakened Vardorvis,Elite,Varlamore,Combat,200,no,
[1171] Defeat Whisperer,Hard,Asgarnia,Combat,80,no,
[1172] Defeat Whisperer 50 times,Hard,Asgarnia,Combat,80,no,
[1173] Defeat Whisperer 150 times,Hard,Asgarnia,Combat,80,no,
[1174] Defeat Whisperer 300 times,Elite,Asgarnia,Combat,200,no,
[1175] Defeat Awakened Whisperer,Elite,Asgarnia,Combat,200,no,
[1176] Defeat Leviathan,Hard,Desert,Combat,80,no,
[1177] Defeat Leviathan 50 times,Hard,Desert,Combat,80,no,
[1178] Defeat Leviathan 150 times,Hard,Desert,Combat,80,no,
[1179] Defeat Leviathan 300 times,Elite,Desert,Combat,200,no,
[1180] Defeat Awakened Leviathan,Elite,Desert,Combat,200,no,
[1181] Defeat Duke Sucellus,Hard,Fremennik,Combat,80,yes,
[1182] Defeat Duke Sucellus 50 times,Hard,Fremennik,Combat,80,no,
[1183] Defeat Duke Sucellus 150 times,Hard,Fremennik,Combat,80,no,
[1184] Defeat Duke Sucellus 300 times,Elite,Fremennik,Combat,200,no,
[1185] Defeat Awakened Duke Sucellus,Elite,Fremennik,Combat,200,no,
[1186] Complete Tombs of Amascut,Hard,Desert,Combat,80,no,
[1187] Complete Tombs of Amascut 25 times,Hard,Desert,Combat,80,no,
[1188] Complete Tombs of Amascut 50 times,Elite,Desert,Combat,200,no,
[1189] Complete Tombs of Amascut 100 times,Elite,Desert,Combat,200,no,
[1190] Guardians of the Rift 1 Rift closed,Medium,Desert,Skilling,30,no,
[1191] Guardians of the Rift 10 Rifts closed,Medium,Desert,Skilling,30,no,
[1192] Guardians of the Rift 25 Rifts closed,Hard,Desert,Skilling,80,no,
[1193] Defeat Phantom Muspah,Hard,Fremennik,Combat,80,yes,
[1194] Defeat Phantom Muspah 50 times,Hard,Fremennik,Combat,80,no,
[1195] Defeat Phantom Muspah 150 times,Hard,Fremennik,Combat,80,no,
[1196] Defeat Phantom Muspah 300 times,Elite,Fremennik,Combat,200,no,
[1197] Complete Tzhaar-Ket-Rak's first challenge,Hard,Karamja,Other,80,no,
[1198] Complete Tzhaar-Ket-Rak's second challenge,Hard,Karamja,Other,80,no,
[1199] Complete Tzhaar-Ket-Rak's third challenge,Hard,Karamja,Other,80,no,
[1200] Complete Tzhaar-Ket-Rak's fourth challenge,Elite,Karamja,Other,200,no,
[1201] Complete Tzhaar-Ket-Rak's fifth challenge,Elite,Karamja,Other,200,no,
[1202] Complete Tzhaar-Ket-Rak's sixth challenge,Elite,Karamja,Other,200,no,
[1203] Complete a Mahogany homes beginner contract,Medium,General,Other,30,no,
[1204] Complete a Mahogany homes novice contract,Medium,General,Other,30,no,
[1205] Complete a Mahogany homes adept contract,Medium,General,Other,30,no,
[1206] Complete a Mahogany homes expert contract,Hard,General,Other,80,no,
[1207] Complete 10 Mahogany homes contracts,Medium,General,Other,30,no,
[1208] Complete 25 Mahogany homes contracts,Medium,General,Other,30,no,
[1209] Complete 50 Mahogany homes contracts,Hard,General,Other,80,no,
[1210] Mine a shooting star,Hard,General,Other,80,no,
[1211] Giants' Foundry 50 quality sword,Medium,Desert,Other,30,no,
[1212] Giants' Foundry 100 quality sword,Medium,Desert,Other,30,no,
[1213] Giants' Foundry 150 quality sword,Hard,Desert,Other,80,no,
[1214] Giants' Foundry 10 handins,Medium,Desert,Other,30,no,
[1215] Giants' Foundry 25 handins,Hard,Desert,Other,80,no,
[1216] Giants' Foundry 50 handins,Hard,Desert,Other,80,no,
[1217] Chop some Rising Roots,Medium,General,Other,30,no,
[1218] Complete the Struggling Sapling event,Medium,General,Other,30,no,
[1219] Complete the Flowering Bush event,Medium,General,Other,30,no,
[1220] Kill a Kalphite with the Keris Partisan,Medium,Desert,Combat,30,no,
[1221] Hit 150 with the Keris Partisan,Elite,Desert,Combat,200,no,
[1222] Equip the Venator Ring,Elite,Desert,Combat,200,yes,
[1223] Equip the Bellator Ring,Elite,Asgarnia,Combat,200,yes,
[1224] Equip the Ultor Ring,Elite,Varlamore,Combat,200,yes,
[1225] Equip the Magus Ring,Elite,Fremennik,Combat,200,yes,
[1226] Equip full Virtus,Master,General,Combat,400,no,
[1227] Equip the Ancient Sceptre,Hard,Fremennik,Combat,80,yes,
[1228] Equip the Elidinis Ward,Elite,Desert,Combat,200,no,
[1230] Equip a Piece of Masori Armour,Elite,Desert,Combat,200,no,
[1231] Equip a full set of Masori,Master,Desert,Combat,400,no,
[1232] Equip Osmumten's Fang,Elite,Desert,Combat,200,yes,
[1233] Equip Osmumten's Fang (or),Master,Desert,Combat,400,yes,
[1235] Equip the Lightbearer,Hard,Desert,Combat,80,yes,
[1236] Equip the Tumeken's Shadow,Master,Desert,Combat,400,yes,
[1237] Create the Divine Rune pouch,Medium,Desert,Combat,30,partial,
[1240] Create the Colossal Rune Pouch,Hard,Desert,Skilling,80,no,
[1241] Equip the Abyssal Lantern,Hard,Desert,Skilling,80,yes,
[1242] Equip a full set of Raiment of the eye,Elite,Desert,Skilling,200,no,
[1244] Equip the Venator Bow,Elite,Fremennik,Combat,200,yes,
[1245] Create the Saturated Heart,Master,Fremennik,Combat,400,partial,
[1246] Equip a full set of the Smith's outfit,Hard,Desert,Other,80,no,
[1247] Equip the Colossal Blade,Medium,Desert,Other,30,yes,
[1248] Obtain the Fish Barrel,Hard,Desert,Other,80,partial,
[1249] Obtain the Big Harpoonfish,Medium,Desert,Other,30,partial,
[1250] Equip the Tome of Water,Medium,Desert,Other,30,yes,
[1251] Equip Amy's Saw,Medium,Asgarnia,Other,30,yes,
[1252] Obtain the Plank Sack,Medium,Asgarnia,Other,30,partial,
[1253] Equip a full set of the Carpenters Outfit,Elite,Asgarnia,Other,200,no,
[1254] Equip the Forestry Basket,Medium,Misthalin,Other,30,yes,
[1256] Equip the Voidwaker,Elite,Wilderness,Combat,200,yes,
[1257] Equip the Webweaver,Elite,Wilderness,Combat,200,no,
[1258] Equip the Accursed Sceptre,Elite,Wilderness,Combat,200,yes,
[1259] Equip the Ursine Chainmace,Elite,Wilderness,Combat,200,yes,
[1260] Equip the Soulreaper Axe,Elite,General,Combat,200,yes,
[1262] Create the long rope shortcut in Darkmeyer,Medium,Morytania,Skilling,30,no,
[1263] Plant an Anima Seed,Hard,Kourend,Skilling,80,no,
[1265] Smith a Rune Item,Hard,General,Skilling,80,no,
[1266] Chop 200 Redwood Logs,Hard,Kourend,Skilling,80,partial,
[1268] Enter Puro Puro from Gielinor,Easy,General,Misc,10,no,
[1269] Dye a cape orange,Easy,General,Misc,10,no,
[1271] Kill Salarin the Twisted,Easy,Kandarin,Combat,10,yes,
[1276] Kill a Necromancer,Easy,General,Combat,10,yes,
[1277] Drink a LizardKicker,Easy,Kourend,Misc,10,no,
[1280] Kill three chickens in 6 seconds,Medium,General,Combat,30,no,
[1285] Smelt a mithril bar in a volcanic fissure,Medium,Kourend,Skilling,30,no,
[1286] Equip a Protest Banner,Easy,Kourend,Misc,10,yes,
[1287] Cry in a wheat field,Easy,General,Misc,10,no,
[1288] Dance in a graveyard,Easy,General,Misc,10,no,
[1289] Brutally murder Conrad King,Easy,Kourend,Combat,10,no,
[1290] Kill a Yak,Easy,Fremennik,Combat,10,yes,
[1291] Equip a full set of Yakhide Armour,Medium,Fremennik,Skilling,30,no,
[1292] Chop down an arctic pine tree,Easy,Fremennik,Skilling,10,no,
[1293] Kill 8 penguins within 5 seconds,Medium,Fremennik,Combat,30,no,
[1294] Loot a dragonstone from the Rogues Castle,Hard,Wilderness,Misc,80,no,
[1295] Equip a team cape,Easy,Wilderness,Misc,10,no,
[1296] Destroy the one ring to rule them all,Medium,Wilderness,Misc,30,no,
[1297] Equip full Elder chaos robe,Elite,Wilderness,Combat,200,no,
[1300] Use Broken Handz's telescope,Easy,Tirannwn,Misc,10,no,
[1301] Ring all of the Prifddinas bells,Medium,Tirannwn,Misc,30,no,
[1303] Trade in a cat for death runes,Hard,Kandarin,Misc,80,no,
[1304] Read a prayer book near a lectern,Medium,General,Misc,30,no,
[1306] Milk a cow,Easy,Misthalin,Misc,10,no,
[1307] Have the Taxidermist stuff something for you,Medium,Morytania,Misc,30,no,
[1308] Insult Aggie the Witch,Easy,Misthalin,Misc,10,no,
[1311] Have Ned make you some rope,Easy,Misthalin,Misc,10,no,
[1312] Kill a port sarim prisoner,Easy,Asgarnia,Combat,10,no,
[1313] Get a chair to follow you,Easy,Misthalin,Misc,10,no,
[1314] Get your revenge against a Dark Wizard,Easy,Misthalin,Combat,10,no,
[1315] Chop a log from a potato tree,Easy,Misthalin,Skilling,10,no,
[1316] Churn some butter,Medium,Misthalin,Misc,30,no,
[1319] Commune a Pharoah's Sceptre to the Necropolis,Medium,Desert,Misc,30,no,
[1320] Telegrab a Bloody bracer,Medium,Morytania,Misc,30,no,
[1321] Have Elsie tell you a story,Easy,Misthalin,Misc,10,no,
[1322] Unlock permanent boat travel with Andras,Hard,Morytania,Misc,80,no,
[1324] Eat a magic cabbage,Easy,Asgarnia,Misc,10,no,
[1326] Feed a ghast some sweets,Medium,Morytania,Misc,30,no,
[1327] Pan for an Uncut Jade,Easy,Misthalin,Misc,10,no,
[1329] Open the Dark Chest,Medium,Misthalin,Combat,30,no,
[1330] Scrape some blue dragonhide,Medium,General,Combat,30,no,
[1331] Defeat the Evil chicken,Medium,Asgarnia,Combat,30,yes,
[1332] Slash a web in varrock sewers,Easy,Misthalin,Misc,10,no,
[1335] Equip a frog mask,Medium,General,Misc,30,yes,
[1336] Give Thurgo a redberry pie,Easy,Asgarnia,Skilling,10,no,
[1338] Make 50 Ancient Brews,Medium,Asgarnia,Skilling,30,no,
[1339] Make 50 Forgotten Brews,Elite,Fremennik,Skilling,200,no,
[1340] Make 50 Menaphite Remedies,Hard,Desert,Skilling,80,no,
[1341] Open 15 Larran's Chests,Medium,Wilderness,Combat,30,no,
[1342] Open 50 Larran's Chests,Hard,Wilderness,Combat,80,no,
[1343] Open 1 Muddy Chest,Medium,Wilderness,Combat,30,no,
[1344] Open 10 Muddy Chests,Hard,Wilderness,Combat,80,no,
[1346] Build a Spirit tree & fairy ring,Elite,General,Skilling,200,no,
[1347] Cook 100 pies,Hard,General,Skilling,80,no,
[1348] Cook 20 Redberry Pies,Hard,General,Skilling,80,no,
[1349] Cook 100 Anglerfish,Elite,Kourend,Skilling,200,partial,
[1350] Successfully Cut a Red Topaz,Easy,General,Skilling,10,no,
[1351] Create a green d'hide shield,Medium,General,Skilling,30,partial,
[1352] Create a black d'hide shield,Hard,General,Skilling,80,partial,
[1353] Blow 100 Light Orbs,Hard,General,Skilling,80,no,
[1354] Burn 20 Pyre Logs,Medium,Morytania,Skilling,30,no,
[1355] Burn 20 Blisterwood Logs,Hard,Morytania,Skilling,80,no,
[1356] Burn 200 Redwood Logs,Hard,Kourend,Skilling,80,no,
[1357] Fletch 25 Oak Stocks,Medium,General,Skilling,30,no,
[1358] Fletch 1000 arrow shafts,Medium,General,Skilling,30,no,
[1360] Fletch 200 Magic Longbow (u),Hard,General,Skilling,80,partial,
[1361] Fletch a Magic Shield,Hard,General,Skilling,80,partial,
[1362] Fletch a Redwood Shield,Hard,Kourend,Skilling,80,partial,
[1364] Fletch 100 Dragon Javelins,Elite,General,Skilling,200,no,
[1365] Fletch 200 Dragon Darts,Elite,Desert,Skilling,200,no,
[1366] Create an Antipoison,Easy,General,Skilling,10,no,
[1367] Create a Compost Potion,Easy,General,Skilling,10,no,
[1368] Create a Guthix Rest Tea,Medium,General,Skilling,30,no,
[1369] Catch a wild kebbit,Easy,Kandarin,Skilling,10,no,
[1371] Mine 5 Tin Ore,Easy,General,Skilling,10,partial,
[1372] Mine 15 coal,Medium,General,Skilling,30,partial,
[1373] Smith a Bronze full helm,Easy,General,Skilling,10,partial,
[1374] Smith a Bronze plateskirt,Easy,General,Skilling,10,partial,
[1375] Smith 10 Steel bolts (unf),Medium,General,Skilling,30,partial,
[1376] Chop 500 Redwood logs,Elite,Kourend,Skilling,200,partial,
[1377] Catch 300 Red Chinchompas in Tirannwn,Elite,Tirannwn,Skilling,200,no,
[1378] Mine 200 Soft Clay in Tirannwn,Hard,Tirannwn,Skilling,80,no,
[1379] Mine 200 Runite Ore in Tirannwn,Elite,Tirannwn,Skilling,200,no,
[1380] Create 100 Divine Super Combat Potions,Elite,Tirannwn,Skilling,200,no,
[1381] Create 100 Divine Ranging Potions,Elite,Tirannwn,Skilling,200,no,
[1383] Smith 500 Runite bolts (unf) in Prifddinas,Elite,Tirannwn,Skilling,200,no,
[1384] Complete 50 laps of the Prifddinas Agility Course,Hard,Tirannwn,Skilling,80,no,
[1385] Chop 100 Teak Logs in Prifddinas,Hard,Tirannwn,Skilling,80,no,
[1386] Make 50 Teak Planks in Prifddinas,Hard,Tirannwn,Skilling,80,no,
[1387] Kill a Black Dragon in Tirannwn,Medium,Tirannwn,Combat,30,yes,
[1388] Kill 50 Elves in Tirannwn,Hard,Tirannwn,Combat,80,no,
[1389] Use a prayer altar to restore 90 prayer in Prifddinas,Hard,Tirannwn,Skilling,80,no,
[1390] Dismantle a Zulrah scale unique,Elite,Tirannwn,Combat,200,no,
[1391] Obtain a Magic seed from a birds nest,Hard,General,Skilling,80,no,
[1392] Defeat Cerberus 50 times,Hard,Asgarnia,Combat,80,no,
[1393] Defeat Cerberus 150 times,Hard,Asgarnia,Combat,80,no,
[1394] Defeat Cerberus 300 times,Elite,Asgarnia,Combat,200,no,
[1395] Cook 20 Karambwans in a row,Hard,Karamja,Skilling,80,no,
[1396] Equip an Enhanced Crystal Weapon,Elite,Tirannwn,Combat,200,no,
[1397] Defeat Zulrah 300 Times,Elite,Tirannwn,Combat,200,no,
